instance,|V|,|E|,C time,R time,Conv time,|iter|,|R1|,|R2|,|R|
p29,53,254,0.0,0.0,0.0,1,0,14,14
p30,60,317,0.0,0.0,0.0,1,0,0,0
p31,47,179,0.0,0.0,0.0,1,0,15,15
p32,51,221,0.0,0.0,0.0,1,0,6,6
p33,56,258,0.0,0.0,0.0,1,0,1,1
p34,74,421,0.0,0.0,0.0,1,0,0,0
p35,86,566,0.0,0.0,0.0,1,0,3,3
p36,101,798,0.01,0.01,0.0,1,0,5,5
p38,87,537,0.0,0.0,0.0,1,0,1,1
p40,86,497,0.0,0.0,0.0,1,0,2,2
p41,116,900,0.01,0.01,0.0,1,0,1,1
p42,138,1186,0.01,0.01,0.0,1,0,1,1
r01,144,1280,0.01,0.01,0.0,1,0,0,0
r02,142,1246,0.01,0.01,0.0,1,0,0,0
r03,139,1188,0.01,0.01,0.0,1,0,0,0
r04,151,1406,0.01,0.01,0.0,1,0,0,0
r05,142,1266,0.01,0.01,0.0,1,0,1,1
r06,148,1381,0.01,0.01,0.0,1,0,1,1
r07,141,1253,0.01,0.01,0.0,1,0,3,3
r08,138,1191,0.01,0.01,0.0,1,0,0,0
r09,129,1027,0.01,0.01,0.0,1,0,1,1
r10,150,1409,0.01,0.01,0.0,1,0,1,1
r11,208,2247,0.03,0.03,0.0,1,0,0,0
r12,199,2055,0.02,0.03,0.0,1,0,0,0
r13,217,2449,0.03,0.03,0.0,1,0,0,0
r14,214,2387,0.03,0.03,0.0,1,0,0,0
r15,198,2055,0.02,0.03,0.0,1,0,0,0
r16,188,1861,0.02,0.02,0.0,1,0,2,2
r17,213,2392,0.03,0.03,0.0,1,0,0,0
r18,200,2079,0.02,0.03,0.0,1,0,0,0
r19,185,1803,0.02,0.02,0.0,1,0,0,0
r20,217,2447,0.03,0.04,0.0,1,0,0,0
r21,281,3554,0.05,0.06,0.01,1,0,0,0
r22,285,3684,0.06,0.07,0.01,1,0,0,0
r23,288,3732,0.05,0.06,0.01,1,0,0,0
r24,269,3284,0.04,0.05,0.01,1,0,0,0
r25,266,3177,0.04,0.06,0.01,1,0,0,0
r26,284,3629,0.05,0.06,0.01,1,0,0,0
r27,259,3019,0.04,0.05,0.0,1,0,0,0
r28,288,3765,0.06,0.06,0.01,1,0,0,0
r29,281,3553,0.05,0.06,0.01,1,0,0,0
r30,301,4122,0.08,0.07,0.01,1,0,0,0
