instance,|V|,|E|,C time,R time,Conv time,|iter|,|R1|,|R2|,|R|
p07,24,92,0.0,0.0,0.0,1,0,0,0
p08,24,92,0.0,0.0,0.0,1,0,0,0
p09,25,100,0.0,0.0,0.0,1,0,0,0
p10,16,32,0.0,0.0,0.0,1,0,0,0
p11,18,48,0.0,0.0,0.0,1,0,0,0
p12,26,90,0.0,0.0,0.0,1,0,0,0
p13,34,160,0.0,0.0,0.0,1,0,0,0
p14,31,110,0.0,0.0,0.0,1,0,1,1
p15,34,136,0.0,0.0,0.0,1,0,0,0
p16,34,134,0.0,0.0,0.0,1,0,0,0
p17,37,161,0.0,0.0,0.0,1,0,0,0
p18,35,143,0.0,0.0,0.0,1,0,0,0
p19,36,156,0.0,0.0,0.0,1,0,0,0
p20,37,142,0.0,0.0,0.0,1,0,3,3
p21,38,155,0.0,0.0,0.0,1,0,6,6
p22,38,154,0.0,0.0,0.0,1,0,2,2
p23,44,204,0.0,0.0,0.0,1,0,0,0
p24,34,104,0.0,0.0,0.0,1,2,10,12
p25,36,120,0.0,0.0,0.0,1,0,6,6
p26,37,131,0.0,0.0,0.0,1,1,11,12
p27,44,174,0.0,0.0,0.0,1,0,0,0
p28,44,164,0.0,0.0,0.0,1,1,12,13
p29,53,254,0.0,0.0,0.0,1,2,29,31
p30,60,317,0.0,0.0,0.0,1,0,0,0
p31,47,179,0.0,0.0,0.0,1,5,19,24
p32,51,221,0.0,0.0,0.0,1,2,14,16
p33,56,258,0.0,0.0,0.0,1,0,5,5
p34,74,421,0.0,0.01,0.0,1,0,16,16
p35,86,566,0.01,0.0,0.0,1,0,5,5
p36,101,798,0.01,0.01,0.0,1,0,6,6
p38,87,537,0.0,0.01,0.0,1,0,10,10
p40,86,497,0.0,0.01,0.0,1,0,15,15
p41,116,900,0.01,0.01,0.0,1,0,19,19
p42,138,1186,0.02,0.02,0.0,1,0,10,10
qg.order30,900,26100,1.29,1.49,0.05,1,0,0,0
qg.order40,1600,62400,5.32,5.9,0.09,1,0,0,0
qg.order60,3600,212400,35.22,40.6,0.32,1,0,0,0
qg.order100,10000,990000,458.95,541.27,1.55,1,0,0,0
queen5_5,25,160,0.0,0.0,0.0,1,0,0,0
queen6_6,36,290,0.0,0.0,0.0,1,0,0,0
queen7_7,49,476,0.0,0.0,0.0,1,0,0,0
queen8_8,64,728,0.01,0.0,0.0,1,0,0,0
queen8_12,96,1368,0.02,0.01,0.0,1,0,0,0
queen9_9,81,1056,0.01,0.01,0.0,1,0,0,0
queen10_10,100,1470,0.02,0.01,0.0,1,0,0,0
queen11_11,121,1980,0.02,0.02,0.0,1,0,0,0
queen12_12,144,2596,0.11,0.03,0.0,1,0,0,0
queen13_13,169,3328,0.05,0.03,0.0,1,0,0,0
queen14_14,196,4186,0.06,0.05,0.01,1,0,0,0
queen15_15,225,5180,0.08,0.07,0.01,1,0,0,0
queen16_16,256,6320,0.11,0.08,0.01,1,0,0,0
r01,144,1280,0.02,0.02,0.0,1,0,0,0
r02,142,1246,0.02,0.02,0.0,1,0,3,3
r03,139,1188,0.02,0.02,0.0,1,0,2,2
r04,151,1406,0.02,0.02,0.0,1,0,1,1
r05,142,1266,0.02,0.02,0.0,1,0,2,2
r06,148,1381,0.02,0.02,0.0,1,0,5,5
r07,141,1253,0.01,0.02,0.0,1,0,10,10
r08,138,1191,0.01,0.02,0.0,1,0,5,5
r09,129,1027,0.01,0.01,0.0,1,0,9,9
r10,150,1409,0.02,0.02,0.0,1,0,1,1
r11,208,2247,0.03,0.04,0.0,1,0,1,1
r12,199,2055,0.03,0.04,0.0,1,0,1,1
r13,217,2449,0.04,0.05,0.0,1,0,0,0
r14,214,2387,0.03,0.04,0.0,1,0,0,0
r15,198,2055,0.03,0.04,0.0,1,0,7,7
r16,188,1861,0.03,0.04,0.0,1,0,9,9
r17,213,2392,0.03,0.04,0.0,1,0,1,1
r18,200,2079,0.03,0.04,0.0,1,0,0,0
r19,185,1803,0.02,0.03,0.0,1,0,4,4
r20,217,2447,0.04,0.04,0.0,1,0,0,0
r21,281,3554,0.06,0.08,0.01,1,0,0,0
r22,285,3684,0.07,0.08,0.01,1,0,1,1
r23,288,3732,0.07,0.08,0.01,1,0,0,0
r24,269,3284,0.06,0.07,0.01,1,0,4,4
r25,266,3177,0.05,0.06,0.01,1,0,0,0
r26,284,3629,0.06,0.08,0.01,1,0,0,0
r27,259,3019,0.05,0.06,0.0,1,0,2,2
r28,288,3765,0.07,0.08,0.01,1,0,2,2
r29,281,3553,0.06,0.08,0.01,1,0,0,0
r30,301,4122,0.08,0.1,0.01,1,0,0,0
r125.1c,125,7501,2.93,37.77,0.0,1,75,0,75
r125.1,125,209,0.0,0.0,0.0,1,10,81,91
r125.5,125,3838,0.51,0.04,0.01,1,3,6,9
r250.1c,250,30227,30.55,240.14,0.01,1,136,0,136
r250.1,250,867,0.01,0.02,0.0,1,23,123,146
r250.5,250,14849,6.25,0.75,0.02,1,3,9,12
r1000.1c,1000,485090,2133.55,5160.53,0.23,1,291,0,291
r1000.1,1000,14378,0.44,0.83,0.03,1,9,90,99
r1000.5,1000,238267,1221.04,34.54,0.23,1,4,12,16
R50_1g,50,108,0.0,0.0,0.0,1,3,5,8
R50_5g,50,612,0.01,0.0,0.0,1,0,0,0
R50_9g,50,1092,0.05,0.0,0.0,1,0,0,0
R75_1g,70,251,0.0,0.0,0.0,1,1,0,1
R75_5g,75,1407,0.02,0.01,0.0,1,0,0,0
R75_9g,75,2513,0.22,0.01,0.0,1,0,0,0
R100_1g,100,509,0.0,0.0,0.0,1,1,1,2
R100_5g,100,2456,0.05,0.01,0.0,1,0,0,0
R100_9g,100,4438,0.49,0.03,0.01,1,0,0,0
school1,385,19095,0.95,0.23,0.02,1,9,19,28
school1_nsh,352,14612,0.57,0.17,0.02,1,10,15,25
wap01a,2368,110871,11.03,27.51,0.13,1,0,583,583
wap02a,2464,111742,11.29,34.74,0.12,1,0,744,744
wap03a,4730,286722,27.19,72.26,0.42,1,0,640,640
wap04a,5231,294902,29.24,95.56,0.39,1,0,1199,1199
wap05a,905,43081,4.7,8.9,0.05,1,3,200,203
wap06a,947,43571,4.6,10.26,0.05,1,2,228,230
wap07a,1809,103368,9.63,13.4,0.15,1,2,196,198
wap08a,1870,104176,9.53,16.7,0.13,1,2,264,266
zeroin.i.1,211,4100,0.7,0.23,0.0,1,32,114,146
zeroin.i.2,211,3541,0.24,0.1,0.0,1,59,71,130
zeroin.i.3,206,3540,0.26,0.1,0.0,1,60,66,126
